"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",781.74256121344,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",828.594691043134,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",873.297610969115,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",959.360431340438,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1053.11231446589,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1148.51425712598,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1288.63749136212,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1508.66791563578,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1753.41419162417,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2099.2194300786,"Nominal GDP Per Capita"
